start	end	text
0	8880	7月7日金曜日時刻は10時になりましたこんばんはライターの竹田査鉄です
8880	16560	本日は棚畑ですけれどもね僕あの子供の頃からよく思ってたのがこれだけ願い事が殺頭する日に
16560	23600	あの自分が願い事しても聞いてはこれないんじゃないかということでそれあの棚畑だけじゃなくて初末でとかにもね感じるんですけど
23600	30240	あれこれよろしくねっていうふうにこう一気にお願いされる方も手が回らないと思うんで願い事するんだったら
30240	37600	たくさんの願いを先別し終えて人段落してこうなんか次のシフトに入る3日後ぐらいに
37600	43200	頼むっていうのが穴場じゃないかなっていつも思うんですけどそしたらこうなんか遅いよとか言いながら意外と
43200	50000	聞いてくれるんじゃないかなっていうふうにいつも思うんですけどということでまぁこちら特に願い事もせずに今日の夜迎えてますけれども
50000	60240	あの自分の生活県にあるですね刺さの葉に飾られた短冊っていうのはあの近くの自動感にある短冊と商店街のパチンコ屋の前にある短冊の2つなんですけど
60240	67600	この2つに書かれてる願い事を比較するとですねまあ人間ってのはこうやってよくっていうものに溺れていくのかっていうのがよくわかるんですね
67600	74480	あのパチンコ屋さんにかかってた短冊にはまあもちろんあの奥まん長者になりたいっていうのもあったんですけどパナパラ見てて
74480	82160	これなかなかいいなと思ったのがですねあのスノーマンが私のことを好きになってくれますようにっていうものでこのやっぱり自分が
82160	89200	動くんじゃなくてアイドルグループ側に動いてもらうっていうこの感じのお願いってのはなんとも愛おしいなというふうに思ったんですけど
89200	96880	まあ大きなことをお願いするけど決して私は動きませんよっていうねそういうこうある種の豪満な願いを知って
96880	102240	まあなんとかこの人の願いが叶うといいなというふうに思っているタナバタなんですけれども
102240	111040	僕はですねあの昨日おとといと沖縄にある方のインタビュー取材で行ってきましてその取材がなんだったかっていうのはまた数か月後に出る
111040	119680	雑誌をお待ちくださいという段階なんですがあの取材の前後に車であっちこち撮影スポットを探してですね撮影をしてたんですけど
119680	128880	この撮影されるっていうのが僕はどんな場面でもあんまり得意ではなくてこれまでこの人とられるのを得意じゃないぞっていうふうに刺したカメラマンがですね
128880	136560	こいつにはとりあえず腕を組ませておくかというふうになって結果的にその写真の仕上がりがラーメンや天守府
136560	142200	スープの仕込みは全部俺がやると他の連中にはナビは触らせないぞっていう感じの
142200	149160	こうたたずまいのですね仕上がりの写真になるっていうのがマイドの展開だったんですけどこれはあの写真を撮られ慣れてない
149160	158360	物書き取り分け男性の物書きにはありがちで世の中には写真に撮られ慣れてない物書きのこうラーメンや天守府の写真っていうのが結構な数
158360	167160	流通してるんですけどまともすればそのポージングがですね俺は誰にも負けない強い意見を持ってるんだぞっていう感じで伝わってる可能性もゼロじゃないと
167160	174120	まあそういう本をあの写真をですね本の帯なんかに入れてる人ってのもいるんですけどまあでもそれはもしかしたら抱き落としての
174120	179960	ラーメンや天守府写真だったかもしれないっていうふうに考えるとなかなか国家なものではあるんですけど
179960	188560	その沖縄でご一緒したカメラマンはあの被写体よりもですねこの風をすごく重視してましてあのすいません風待ちますともうすぐ風吹くはずです
188560	196360	っていう風にこう待ってるとはい風来ましたって言ってその風を生かして写真を撮る方だったんですねそれを繰り返してると
196360	204080	あの撮られる方もですねこの風大事にしようと次の風待とうともう一回風待とうっていう感じで思いが強くなってきて
204080	211040	を撮るとられるっていう関係性よりももうこの風を一緒に大切にしようっていう共通の目標が出てきてですね
211040	221040	あのするとこう一度も腕を組むことなく結構長い撮影が終わったと 皆さんもインタビュー記事とうとうであの腕組みラーメンや天守府の写真を見てですね
221040	230360	その写真からその人の強さを感じた場合はこれだけ落としての ラーメンや天守府写真なんじゃないかということを疑ってみる必要がありますね
230360	239600	沖縄でのインタビュー対談は中身はこうややシリアスなものになりましたけれども撮影自体はこう出つ ラーメンや天守府というの決定付ける
239600	247800	風との対話ができたかなという貴重な機会になりました まあ皆さんとか皆さんの周りに写真を撮られるのが苦手な方がいたらですね
