start	end	text
0	13000	経済産業所のトランスジェンダーの職員が、職場の女性トイレを使用制限されたのは、不当と国を訴えた裁判。
13000	22000	最高裁判所は、制限は不当と判断し、職員側の訴えを認めた一審の判決が確定しました。
23000	31000	福岡、佐賀、大板の三県での大雨から一夜、浴衛不明社の創作が続いています。
31000	37000	一方、熱中症警戒アラートが多くの地域に発表されています。
38000	50000	スウェーデンのナトウ・カメエが実現へ、一方、ナトウ・首脳会談がきょう行われ、ウクライナのカメエを巡る議論をされる見通しです。
53000	61000	早稲田まか数校の低摻めは、きょうの存在が判決するオリエンザーから高所社を徹得しました。
63000	73000	参加することで、参加者がお見途に面前に行く年あった、OMACの近藤じゃなくても届けやすい場所でした。
73000	92120	死期診療に関する忍ation
92120	96120	樋口 自国は3時半になりました こんにちは 岡井知貴です
96120	101120	深井 こんにちは 南部広実です 樋口 岡井知貴セッション 今日もよろしくお願いします
101120	105120	深井 よろしくお願い致します 樋口 さて あなたは今年何度熱いという言葉を
105120	108120	走ったでしょうかね 深井 数えとない方が大半だと思いますけれども
108120	111120	樋口 そうですね そのうちAIとかがカウントしてくれるかも
111120	116120	深井 熱いわ 自分がこのワードなんか言ったかというのを設定できたりするかも
116120	120120	深井 そうですね スマートデバイスとかそうするのが身近にあった場合だと
120120	125120	厚って言った段階でエアコンがつくとか そうしたのが社会になるかもしれません
125120	132120	樋口 絶対が進みますから 深井 エアコンなしには本当に大変な暑さになってますので
132120	136120	皆さんそこは制限かけずにお願いしたいと思いますね 深井 そうですね
136120	140120	深井 熱中症気をつけてくださいね 文法給保
140120	144120	樋口 こういったニュースというか こういった暑さなども考えても
144120	147120	やっぱり何事もニュースと繋がるなというのもわけですよ 深井 本当に思います
147120	153120	樋口 大大きくは例えば気候機器の問題とか それから例えば学校とかのエアコンの設置率が低い
153120	158120	教師などのエアコンの設置は進んできたところあるんだけど 体育館なるほぼ進んでない
158120	163120	2000年代覚えてますよ 当時の教育会話や議論の中で
163120	168120	エアコン設置しましょうよっていう声をあげると いやいやちょっとぐらい暑くて我慢できないなんて
168120	172120	甘やかしてるとか 深井 その時代です 樋口 大人になったらもっと苦労するんだとか
172120	176120	深井 そう 何それって謎ですよ 樋口 謎ですよ 深井 抑えつけた方々がいまして
176120	181120	深井 とてもじゃないけど立ち打ちできないですかね 樋口 そうね 生命に影響があります
181120	186120	深井 エアコンとか普段使ってないのかとか 汗吹くために半価値は使ってないのかとか
186120	190120	サーキュレーターとか洗浦機使ってないのかとか 工事とか飲んでないのかとか
190120	193120	深井 言いたくなりますよね 樋口 本場ではなんともならんのですよ
193120	197120	深井 そう 精神の振りかざ踏まえでいただきたいと 樋口 そうですね
197120	200120	樋口 さて突然ですが私が最初に官房茶に行った時もですね
200120	203120	深井 暑かったでしょう 何十年前ですか
203120	205120	樋口 20年前です 深井 20年前か
205120	210120	樋口 正確には22年前なんですけれども 暑さ対策をしっかりしていかなくていけない
210120	215120	樋口 だけれども虫にさせれたりすると感染症とかもリスクがあるので
215120	218120	樋口 肌を露出しすぎてもいけない 深井 暑いですもんね顔じゃ熱帯
218120	222120	樋口 だから海外に旅行行く際にも 抜き仕様ケースプレーとかそうして
222120	226120	色んな用意をしていくというような そうしての記憶というものがありました
226120	231120	樋口 今日はそんな官房寺屋についての 特集実質上第4弾なんですが
231120	234120	樋口 万が一編ということでお送りします
234120	240120	深井 はい 4時30分ごろからです 特集名セッション シリーズ官房寺 万が一編 生活と文化
240120	244120	ゲストにライターのキムラ屋さんを 迎えしておくりします
244120	251120	リスナーの皆さん 官房寺屋の生活や魅力 文化に関するメッセージをお待ちしています
251120	257120	深井 SS954 アットマークTBS.co.jpまで 寺居さんのように行かれた方は
257120	261120	体験団など聞かせてくださいね 樋口 今日の特集名セッションでは
261120	265120	極がいろいろと 深井 そう極もかかります 樋口 文化面なんでね
265120	268120	樋口 なぜそれがそのタイミングでかかるの っていうような驚きもあるかと思いますね
268120	270120	深井 いろいろ面白いと思います 樋口 ちょっとお付き合いください
270120	274120	深井 デイリーニュースセッションでは トルコがスウェーデンのなとを
274120	279120	加入を要任というこちらのニュースについて 慶応技術大学順教授の
279120	283120	ツルオカミジトさんに伺います ではこの後お知らせに続いて
283120	288120	デイリーニューセッションです 樋口 発信型ニュースプロジェクト
288120	294120	深井 補給エチキ セッション
294120	299120	樋口 ここでiPhoneからのお知らせです スマイのインターホンを作って
299120	306120	75年の実績iPhoneからスマートフォン対応 テレビドアホンのご紹介です
306120	309120	深井 スマイに欠かせないテレビドアホンですが
309120	315120	外出先でもルス中の来訪者やご家族の帰宅などを 確認したい方に労報です
315120	321120	iPhoneのスマートフォン対応テレビドアホンは 親きをインターネットとつなぐだけで
321120	327120	外出先でもスマホで来客対応ができます リアルタイムに呼び出しがかかり
327120	331120	映像を確認しながら通話ができるので とっても便利
331120	336120	お子様の帰宅確認にも使えます また電気状と組み合わせれば
336120	341120	外出先から製造ができたり スマホから自宅の親きを呼び出して
341120	345120	家族と通話ができたり 便利な機能がいっぱい
345120	350120	iPhoneのスマートフォン対応テレビドアホン お仕事が忙しい方
350120	354120	お子様がまだ小さい方などにおすすめのドアホンです
362120	368120	そして買い取り申し込みなさいラジオと応えて 126cc以上のバイクを売るともらえる
368120	372120	1万円の商品券に感激 感激にバイク
376120	383120	この時間は毎日新聞社 日本財団の提供でお送りします
392120	399120	ここからは最新のニュースをお送りする デイリーニュースセッション
399120	402120	まずはこちらのニュースからです
402120	409120	今日から納党首脳会議 トルコがスウェーデンの仮名4人の方針
409120	415120	納党のストルデンベルク事務総長は10日 トルコのエルドアン大統領と
415120	419120	スウェーデンのクリステーション首相と会談しました
419120	425120	ここでスウェーデンの納党仮名に これまで難職を示していたトルコが
425120	431120	1点仮名に向けた秘順手続きを なるべく早く進めることで合意した
431120	433120	ということです
433120	439120	納党拡大に向けた動きが進む中 今日から開幕する納党首脳会議では
440120	447120	ロシアの進行が続く状況で ウクライナの将来的な仮名に向け
447120	454120	どのような道筋が示せるのか 長期的にウクライナを軍事的にサポートするための
454120	458120	複数年支援計画の内容が焦点となります
458120	464120	それでは納党首脳会議今日から開催 こちらの動きについては国際整理学者で
464120	468120	慶応大学順教授の スローカーミシトさんにお話しを伺います
468120	470120	スローカーさんこんにちは
470120	472120	こんにちはよろしくお願いします
472120	473120	よろしくお願いいたします
473120	477120	まず改めて納党をどういった役割を持っている組織ということを
477120	479120	理解せばいいんでしょうか
479120	484120	これはアメリカとヨーロッパ31カ国が 仮名した同盟なわけですね
484120	489120	目的としては納党諸国の安全保障を守るということで
489120	494120	集団防衛と一緒に守るという同盟組織です
494120	500120	そしてこの納党に関してあなたの仮名国を 仮名を希望している国が出てきている
500120	502120	ということで大変話題となっていますが
502120	506120	トルコがスウェーデンの仮名を容認する方向で合意という動きがありました
506120	508120	この経緯について教えてください
508120	511120	はいこれ昨年の5月ですね
511120	515120	フィンランドとスウェーデンが同時に仮名申請したんですね
515120	516120	はい
516120	520120	昨年6月のマドリードで行われた納党の諸の開講で
520120	526120	2つの国の仮名が諸生されたインビテーションを 目指されたということになったんですね
526120	531120	その後今年の4月にフィンランドは仮名を 既にしました
531120	532120	はい
532120	536120	ただトルコがですねこのスウェーデンに関しては 何色を示していたと
536120	539120	でこれの最大の理由がですね
539120	542120	このスウェーデンの中にこのクルド系のですね
542120	547120	これトルコからしたらテロリストであり
547120	551120	その国家の分裂をですね図るとしている人出してあると
551120	556120	そういった組織がさまざまにスウェーデンを拠点に活動していると
556120	561120	でこれに対してトルコが非常に強い反発をして
561120	565120	このスウェーデンの仮名をストップしてきたということです
565120	566120	はい
566120	569120	そうした経緯があった中で容認する方向になった
569120	571120	これはどうしてなんでしょうか
571120	574120	これ一つ形式的にはですねスウェーデンが
574120	577120	この法律改正などを含めてですね
577120	580120	このテロ対策を強化するということで
580120	583120	前進を見せたということなんです
583120	587120	といいますのはこれ昨年6月の納都市の介護の直前に
587120	591120	この加入を調整するということで合意したんですけれども
591120	594120	その時のに条件があったんですね
594120	598120	でテロ対策などを進めることということだったんですね
598120	601120	それをスウェーデンとしてある意味宿題を
601120	605120	やったということになったというのが一つです
605120	609120	ただですねこれ今回もなかなか
609120	612120	このサミットがあるからといって合意できないんじゃないかという
612120	614120	声もあったんですね
614120	617120	ただやはりこの納都市の介護というのは非常に
617120	620120	政治的に大きなプレッシャーになるわけですね
620120	625120	何かを決定するときの大きな区切りになるわけですね
625120	628120	ですから昨年もこのサミットの時に
628120	631120	休店直下でこの加入を調整
631120	633120	インビテーションが合理されて
633120	635120	で今回もサミットというのはやはり
635120	637120	このエルドアン大統領にとってもですね
637120	639120	やはり何かを決断するなら
639120	642120	この時しかないということだったんだと思います
642120	645120	であの一つこれ納都側が
645120	647120	情報したわけではないんですけれども
647120	650120	どれかに対して提供したものとして重要なのが
650120	653120	この納都の課題としてテロリズム
653120	657120	テロ対策これをしっかりやるということを
657120	659120	強く打ち出したですね
659120	663120	でこれ納都事務総長の最近の記者会見を
663120	665120	詳細に見ていくとですね
665120	668120	納都が直面する脅威
668120	670120	主な脅威が2つあるという言い方を
670120	673120	最近始めましたこれ先週ぐらいからなんですけれども
673120	676120	これがロシアとテロリズムだって言うんですね
676120	679120	だからロシアの脅威と同じぐらいに
679120	682120	テロリズムを打ち付けるということで
682120	685120	このトルコの関心トルコの懸念に
685120	688120	納都としてしっかり答えているんですよ
688120	692120	でこの納都がテロ対策に力を入れるというのも
692120	695120	これトルコがスウェーデンの仮面を承認したら
695120	698120	納都としてもしっかりテロ対策やるし
698120	700120	それ仮面が承認できないなら
700120	702120	納都としてもテロ対策は進みませんねという
702120	704120	ある意味納都はからもですね
704120	706120	レバレッジがあって
706120	709120	あるトルコに対してこの承認
709120	713120	との要認を呼びかけたという形になるなと思います
713120	716120	うながしていった納都の原理というか力を加えて
716120	719120	相手を変えていったところも納都がわからせるからは
719120	720120	あるわけですね
720120	723120	でもこれテロリズムテロ対策というものが
723120	727120	加わったということはこれ納都の安全保障的な役割の中に
727120	729120	より後半のテロ対策が今後
729120	731120	ミッションとして組み込まれていくことになるのか
731120	733120	それともそれ自体をこれまでも行われていたのか
733120	735120	これはいかがでしょうか
735120	737120	これの両方あると思いますと言いますのは
737120	741120	これ911のアメリカのテロ2001年以降ですね
741120	743120	納都としてもテロ対策というのを
743120	746120	かなり重視してやってきました
746120	749120	ただこのロシアの脅威ということが
749120	751120	全面に出る中ですね
751120	754120	やはりこのテロ対策というのの比重が
754120	757120	ここ数年下がっていたのは確かだと思います
757120	760120	で今回ですねちょうどタイミング良かったのは
760120	763120	今回の首脳会合で
763120	765120	もちろんこのウクライナの支援というのは
765120	767120	一つ大きな柱なんですけれども
767120	769120	もう一つ納都にとって
769120	772120	おそらくウクライナ支援よりも重要なのが
772120	776120	納都の防衛計画の承認になっていますね
776120	779120	でこれ北部中部南部というのに負けて
779120	782120	地域防衛計画と呼ぶんですけれども
782120	785120	でこれも実はトルコが反対して
785120	789120	ストップしていたと言われていているんですね
789120	791120	でここでもトルコは
791120	794120	この地域防衛計画の中でも
794120	797120	このテロ対策というものに
797120	799120	より重点をあてる
799120	802120	重点を求めていったと言われているんですよ
802120	805120	ですからおそらく今回このパッケージのディールで
805120	808120	このスウェーデンの仮面を容認するということと
808120	811120	この納都としてテロ対策強化するってことで
811120	814120	このテロ対策の特別調整管理コストを
814120	817120	納都に作るってことでも放送されているんですね
817120	819120	でおそらくもう一つ大きな柱が
819120	821120	この地域防衛計画の中で
821120	825120	南部というのが他の地中海とか国海地域なんですね
