start	end	text
0	9840	11月3日金曜日時刻は10時になりました こんばんはライターの竹田査鉄ですよろしくお願いいたします
9840	17920	今日はですね昼間にあの高校の童装会っていうのがその高校でありまして それに少し顔を出してきたんですね
17920	27360	あのまあ童装会やるっていうことを一つ手に聞いたときにですね 行かなくていいやと11月3日文化放送の年日度のお祭り浜祭り行ったくだろうって
27360	35280	いうふうに即座に思ったんですけど 脳内でこう別の自分がですねお前が童装会に行かなくていいやと思ったのはどうしてなのかっていうのを
35280	40640	確かめに行ってこいっていう指示を下してくる感じもありましてちょっと 出かけてみたんですけどね
40640	47200	同級生ですからみんな40歳か41歳なんで高校卒業して20年以上が経つっていう状態なんで
47200	53840	みんなそれぞれ薄らした記憶を辿りながら話をしてきましたけれども このラジオ大きいの方とかですね
53840	62720	あれは僕の心関なんかやな感じを読んでくださった方はなんとなくわかってくださると思いますけれども 自分本当に当時のことをとても色濃く覚えてるんで
62720	70640	あの女子のことを下の名前で読んでたあんまり好きになれなかったあの先生まだいるのかなとかですね あの合唱祭の練習に
70640	79920	ほとんど参加しなかったのに最後の数日だけ来てやだらとしきって本番で大粒の涙流した彼は来るのかなとか そういう細かい記憶を確かめようとする
79920	92800	悪い癖がありましてその癖をですねちょっと脳内から消すのに集中をしていたんですけれども 特にこう中が良かった人っていうのはこういう同僧会じゃなくても年に数回はですねあの数年1回ぐらいですかね
92800	108400	会うんでまむしろ同僧会だいたいなと思うのは卒業からずっと会ってないものすごく仲良かったわけではないけどでも しっかり行方に残ってる人で例えばあの部活で学校の周りをランニングする時に一緒にサボる方法を考えてくれて
108400	121800	グランドから視覚になったタイミングであの腕時計と肌の間に挟んでおいた100円玉を取り出して だが仕込ぜっていうに誘ってくれたけい君みたいな人に僕は会いたいんですけどねやっぱりそういう人はなかなか会いないんですよね
121800	129960	これなんとなくわかってくれるかなと思うんですけどあの同僧会に顔を出すとあの同僧会に行こうと思わないような人に会いたいなっていう感情が
129960	139080	分き上がってくんですね今日はの学校が敷っている同僧会だったんで学校が持ってる情報に基づいて 連絡がいろいろと行き渡ってるってね
139080	146720	まあいろいろな人たちがやってきて楽しかったですが皆様の世の中の同僧会に対して感じているだろう 問題点もですね
146720	159360	大胆に指摘しておきますとおよそ同僧会ってのはその当時その学年を取り敷っていたというか中心になっていったグループの人たちがやろうっていうふうに思い出すことが多くてですね
159360	170720	その人たちが中心になってまあ注目に例えるならばそういう人たちがみきとなってですねそこからこう枝葉に対して 関連情報開催情報っていうのが行き渡っていくということになるわけですけど
170720	181760	枝葉の側からするとですね実はこの枝葉同士で集まりたいという この中心のみきの人たちが多くて元気満々の同僧会だとやっぱりちょっと生きにくくなるんだよねっていう本音があって
181760	192640	まあ今この話を聞いてそうかな考えすぎじゃないと思ってる人と そうその通りって思ってる人に多分二挙復活されてると思うんですがこの二挙復活こそが同僧会が抱えている
