start	end	text
0	9000	6月23日金曜日時刻は10時になりました こんばんはライターの竹田査鉄です
9000	19920	えーっと今日が6月23日で明日24日がですねあのコラムニストのおだじま 高橋さんがですね65歳で亡くなられてから1年がたすということになりますね
19920	28040	TBSラジオでは赤い玉を玉結びの毎週月曜日週間日本の空気というコーナー10年担当されてたことでおなじみですけれども
28040	35160	僕もあのだいぶ親しくさせてもらってましてただまあ年は25歳ほど離れてるんでね まあ友達という感じでもないし
35160	43800	師匠とそれを数廃してる弟子という感じでもまあもちろんないしね まあでも定期的に会うおじさんというこう不思議な関係性ではありましたけど
43800	54800	定期的に会うおじさんがこうへらへら笑いながら減らず口を叩いてたおじさんがいなくなっちゃうっていうのは なかなか寂しいもんだなというのはこの1年間定期的に感じてきたところなんですが
54800	63000	あのまあ去年おだじまさん亡くなったというふうに知らされたのが当時ですねいろんな映画館を中場貸切り状態にさせていたってことでおなじみの
63000	70480	東京オリンピック公式記録映画サイドVを見る直前にあのスマホを切る直前にその知らせのメールがやってきて
70480	77160	始まった映画を見ながらこの感想をおだじまさんから聞けないのは残念だなぁなんてことを思ったのをね思い出しますけれども
77160	85400	あれからもう1年が経ったのかと思う驚きながらもどうもまだ耳におだじまさんの声が残ってるのはあれから玉結びをはじめとして
85400	92480	入れんいろんなイベントなどでもおだじまさんの言葉に接する機会が多かったからかなというふうに思っておりますね
92480	99240	であのおだじまさんとは2020年におだじまさんの10年分のツイートをまとめたそしてまあ自分のコラムとかですね
99240	109720	インタビュー付け加えた最寒の歌という本の返事をやらせてもらいましてわざわいの間まつまり東日本大震災から新型コロナ感染拡大という2つの
109720	116920	わざわいの間この間におだじまさんがこう当時たツイートを自分が厳選するというなかなか厄介な仕事で
116920	125000	この数年間で厄介だった大変だった仕事トップ1というのを争っているのがおだじまたかし最寒の歌の編集と
125000	129640	TBSラジオ公式ドクオの編集だったに違いないと私は思ってますけど
129640	135520	本というのはあの書き手が死んでいなくなっちゃってもあの編集担当があれ大変だなと思う
135520	145520	ぐちってもですね何を言うがそこに優先と物質として存在しているっていうのがたまらなくいいなというふうに今出版に関わる人間は思うわけですけど
145520	153520	おだじまさんの文章とかツイートってのは3度できたり3度できなかったりそれそもそも何がいたいんだと戸惑ったりいろいろとあるんですけど
153520	163000	世の中の空気今形成されずようとしている空気っていうのを捕まえる人が捕まえるのは非常にたくみな人だったなというふうに改めて思いますね
163000	172400	あの今日パラパラとまた再緩の歌っていうのをめくってましたらこんな箇所ありました2019年8月なんで愛知トリエンナーレの中の展示
172400	179920	表現の不自由典その後の開催が議論されてた頃のツイートなんですがおだじまさんはこういうふうに書いてるんですね
179920	187920	抗議と供博と避難と罰制でボロボロにされる覚悟をあらかじめ固めている人間だけが自由な表現を貫く視覚を持っている
187920	195840	そういうような社会が仮に存在しているのだとしたらその社会はとてもじゃないけれど表現の銃が保障されている社会とは言えないと思う
195840	203280	命がけで表現に取り組むものだけが本当の表現の銃を手に入れられるみたいなマッチョイズムが心の底から大嫌いなので
203280	212760	生半華な気持ちで現行書き飛ばしていたり思いつきで絵を描いている人間にも等しく保障されているのが表現の自由ってやつなんだぜと言い張ることにしている
212760	220720	そしてこのものの中で僕がおだじまさんにインタビューしているんですけど自分がなんだか最近こうどんなに批判を浴びても俺はぶっちゃけますよとか
220720	228080	そうやって好き勝手に言う覚悟があるぞ余裕着々だぜっていう態度をこう常に見せておくスタイルで持てはやされている
228080	234400	インフルエンサーが多いですねなんてこう誘導尋問するとですねおだじまさんこういうふうに返してきたんですね
234400	243440	おだじまの言ってるここが間違ってるって指摘をするタイプの論者と23言葉を交わした後どうしてそんなに顔真っ赤なんですかとかそういう対応してくるんですよ
243440	252640	彼らの世界では必死だったり顔真っ赤にするのが負けなんですよね だから言ってる内容が正しいとか正しくないじゃなくなる必死になって言い争ってるのが負けになる
252640	262200	それは違うんじゃないかなぁと言ってるa さん絶対違うじゃないかというb さんが言い争ってるそうすると必死に言い張ってるb さんが格好悪いよねってことになる
262200	271120	観客の総理がそこにある相手は僕よくわかんないけどあれなんあれなんですよねみたいなこう温度の低い発数限をすればその後で
271120	279600	どうしてそんなに必死なんですかというに言えるそれ強敵です なんでそんなに興味なさそうに言うんだってはめいたらこっちの負けなわけですから
279600	289000	まあなるほど確かにこうこの数か月もですねそういうことでしょっちゅうありましたね何かの問題に対して自分なりに思ったことを真剣に自分なりに言うと
289000	299920	そうするとそういう発言するからにはそれなりに叩かれても構わないと思ってるんだよねっていう強い攻撃とですね まあそんなに必死になっちゃってというに軽んじる動きっていうのが
299920	308800	まあ両方やってくるとまある公主庁の周りに強い攻撃と軽んじる動きっていうのをこの2つが不着をしてくると
308800	320000	で真ん中にある当初の意見がですねなんかとっても弱々しいものに見えてくる 今回の国会の後半で議論してたのがマニュー官法とですね lgbt 理解増進法でしたけど
320000	331160	まあそのいずれもあの当事者とかですねその当事者の近くにいる人の意見に対して 強い攻撃と軽んじる動きとこの2つっていうのがぶつけられていたように思うんですね
331160	343160	こういう問題が議論された時に力を持ってる人じゃなくて力を持ってるわけではない人を選んでですね 攻撃のターゲットにするっていうこの光景がなんかすっかりおなじみのものになっちゃって
