start	end	text
30000	42000	今夜は6時になりました。こんばんは、尾城市です。
42000	44000	こんばんは、南部広瀬です。
44000	49000	TVSラジオ金聖書に生放送でお送りしている尾城市セッション。
49000	51000	こんばんは、よろしくお願いします。
51000	58000	こんばんはという言葉が、とても似合うような暗さというものになってきましたね。
59000	63000	どんどん暗くなっていく。そして、寒くもなってきました。
63000	66000	皆さん、寒さないですが、どうぞ気をつけて。
66000	71000	昨日、深刻な長袖不足ということを、少しお話ししたんですけれども、
71000	75000	早速、長袖がいらないような、長袖で外行かない。
75000	81000	その上にもニットとか、いろんなものが必要だから、いわゆるインナーというか、シャツとか、
81000	83000	そういうのを中に吐けばいい。
83000	85000	アウターをしっかりさせる時期になります。
85000	87000	伊勢と言う前に、そんな期待になりますよね。
87000	89000	基本になってますね。
89000	93000	でも、天気でアクトを伝えするんです。石瀬さんから届いているものを見ると、
93000	99000	来週、再び20度くらいまで上がる日も予算されているというようなことですので、
99000	105000	皆さん、まだまだ完全コロモガイはちょっと待ってっていうことで、
105000	107000	わかりました。
107000	110000	では、まずは、長官誘館読んでいきたいと思います。
110000	115000	まず、長官、三邦新聞一面とかは、戦略物資、厳税、録分野ということで、
115000	122000	日本のEVなどの国内の生産、促進するなどの税改正が行われるようという話が紹介されています。
122000	123000	税改正?
123000	124000	はい。
124000	128000	朝日新聞は、暗闇、清浴、アカンボウの声、ガザのシファ病院のニュースで、
128000	135000	そして毎日新聞は、ガザの病院、地下に武器庫というイスライル側が動画を公開しているということが紹介されています。
135000	139000	このイスライル側に公開された動画についてもするに、いろんな議論が巻き起こってますよね。
139000	148000	日系新聞は、氷、プライベートブランド、比率が過去最高ということで、
148000	152000	どんどんどんどんどんどん、あれなんでしょうね。いいのかって思うことあるんですけど、
152000	155000	このちょっと買おうと思ったら、ミートなりにもっと安いやつが、
155000	157000	そんなに何オリジナルみたいな。
157000	161000	みたいな格好ありますけれども、プライベートブランドが接見するという話。
162000	166000	ユメリ新聞は、新広告の脱炭素、基金でというようなことで、
166000	175000	アメリカが指導する経済権構想の中に具体的な脱炭素などの基金を動かしつつていくようなことが紹介されておりました。
175000	179000	そして東京新聞は保険症限定マイナ導入ということで、
179000	183000	マイナンバーカードに保険症を廃止したあと1本化するのに伴って、
183000	189000	安証番号なしマイナカードの受付が始まって、これから開始されているということなんですね。
189000	192000	なんでこんな複雑な動揺をしていくんですか?
192000	196000	いや、それは背景がありまして、先日の国会答弁でも明らかになりましたが、
196000	201000	マイナー保険症の導入率がどんどん下がっているんですよね、低くなっているんですね。
201000	206000	などもあってですね、ちょっと高いだ、高いだってことでいろいろ動いているということですね。
206000	208000	で、有観紹介してみましょうか。
208000	210000	有観はですけれども、アサイ新聞は、
210000	215000	芸術化、銀行止め、未来入学、社会問題を届ける駆け橋にということで、
215000	221000	例えば、核実験などに関する映像というものをさまざま作品を作っていったりするなど、
221000	225000	いろんな表現を通じて社会について発信していくという活動が紹介されています。
225000	232000	日系新聞、GDP、4月から9月、2.1%ゲームという国内総生産の動き、
232000	236000	ユメリシムはイスラエル・シファ病院突入という記事が紹介されています。
236000	241000	そして東京新聞締めとは、野友にも関与、トンデサイタマということで、
241000	246000	サイタマ県民ですからね、トンデサイタマの続編が今度公開されますよね。
246000	248000	お話題になってますね。
248000	250000	舞台はシガダということで、
250000	254000	そうしたことで、まずサイタマ県知事にキャストたちが謝りに立って、
254000	258000	そうした写真と共に記事学紹介されてました。
258000	260000	頭を下げられているんですね。
260000	263000	二階堂、ふみさんらが不家不家と頭を下げた後、
263000	267000	こんな茶場に付き合ってくれてという国に申し訳なさそうに話すという、
267000	269000	そんな人幕があったわけですね。
269000	271000	そして毎日新聞締めとこれ面白かったんですが、
271000	274000	暴力避ける知恵、中世の教訓ということで、
274000	278000	ケンブリッジ大学の犯罪研究所が、
278000	282000	ロンドンなどで起きた撮影事件の現場を示したウェブサイドを開設して、
282000	290000	その犯罪の発生率は13世紀とか14世紀とか中世の時代での犯罪のマッピングがされてるんですね。
290000	292000	それを分析していくと、
292000	294000	どういった理由で犯罪要起、
294000	297000	どういった言わないやり方で犯罪を止めることができるのかというものの、
297000	300000	知恵が浮きぼりになっていくよということが書かれてるんです。
300000	301000	地図にマッピングして?
301000	304000	地図でマッピングしてなおかと事例を紹介することで、
304000	306000	乗ってる事例はとてもこういったもので、
306000	311000	1298年、中心街のハイストリートの居酒屋で若者同士が公論して、
311000	314000	県やオノで乱島に発生したと。
314000	317000	それで、亡くなった方がいるという話とか、
317000	320000	1303年、学生がハイストリートこれも通りですね。
320000	322000	ボーラーソピをしていたところ、
322000	324000	3人のアイルランド人学生に襲撃をされたと。
324000	327000	その時に喉を刺されたとか、1324年、
327000	331000	学生たちが役人を県や家で襲ったという話があって、
331000	333000	県時代ですね。
333000	335000	はい、県時代ですね。自由だとはなかったですから。
335000	338000	で、ここで舞うべき教訓がまず一つあると思う。
338000	340000	武器は危ないっていう。
340000	342000	そういう言葉をやってて、いやでもその通りなんですよ。
342000	343000	そうですよ。
343000	345000	武器を持ち歩くと、
345000	347000	ブレーをされたとか侮辱されたと思った時に、
347000	349000	公論ではなくて武器を使ってしまうっていう。
349000	351000	そう、持ってるしってなりますから。
351000	354000	持ってると無理、使いたくなっちゃうのが真理なんですか。
354000	356000	武器を携帯することが、
356000	359000	結局安全を損なうことになってしまうということの
359000	361000	教訓がここらへられるってことが書かれていて。
361000	363000	身を守るのではなくね。
363000	365000	そりゃそうだなって思いました。
365000	366000	今日はアサイ新聞に載っていた
366000	369000	金原一目さんの母というピルソナという
369000	371000	機構文がとても話題になっていまして、
371000	375000	小説家の活動をしながら子どもを育てるという
375000	376000	日々というのが、
376000	378000	いかに自分にとって母というピルソナを
378000	380000	世話されるような体験だったのかということを
380000	381000	振り返っていて、
381000	383000	今日寝ててもこの記事が公開されるようになり、
383000	385000	非常に心配し、反響なども多くありましたね。
385000	387000	気になる方、アサイ新聞の長官、
387000	389000	見ていただければと思います。
389000	391000	では、この後最新のニュースをお伝えする
391000	393000	デイリーニューセッションです。
393000	396000	発信型ニュースプロジェス。
396000	398000	母牛えちき。
399000	401000	セッション。
402000	404000	報告展開の企画できた?
404000	405000	まとまってません。
405000	407000	そんな時は相談。
407000	408000	はい、お願いします。
408000	411000	俺じゃなくてTBSラジオにね。
411000	413000	TBSラジオの営業サイトでは
413000	415000	SNSを活用したデジタル施策、
415000	417000	過去の事例を掲載中。
417000	419000	ラジオとSNSは相性がいいんだ。
419000	422000	TBSラジオ営業で検索。
423000	427000	この時間は毎日新聞社
427000	431000	日本財団の提供でお送りします。
437000	439000	今日の世界。
439000	441000	明日に進む。
449000	451000	ここからは最新のニュースをお送りする
451000	453000	デイリーニューセッション。
453000	455000	まずはこちらのニュースからです。
455000	457000	イスラエル軍、
457000	459000	ガザ最大規模の病院で
459000	463000	軍事策戦を実行中と発表。
464000	466000	パレスナ自治区
466000	468000	ガザでの地上進行を進める
468000	470000	イスラエル軍は15日
470000	472000	ガザ市にあるシファ病院で
472000	474000	特定の場所で
474000	477000	精密かつ目標を絞った
477000	479000	軍事策戦を実行中だと
479000	481000	明らかにしました。
481000	483000	シファ病院は
483000	485000	ガザ地区最大の病院で
485000	487000	イスラエル側は
487000	489000	イスラム組織ハマスが
489000	491000	地下などに
491000	493000	医療拠点を設けていると
493000	495000	主張していますが
495000	497000	ハマス側は強く否定しています。
497000	499000	また、シファ病院では
499000	502000	発電用の燃料不足などによって
502000	505000	医療機能がほぼ停止していて
505000	508000	少なくとも新生時3人が死亡。
508000	511000	他にも36人もの新生時が
511000	515000	命の危険にさらされているということです。
515000	518000	病院は亡くなった人たちの
518000	520000	集団埋葬をすると
520000	522000	明らかにしていて
522000	524000	ハマス側の発表によりますと
524000	526000	これまでに179人の
526000	529000	遺体が埋葬されたということです。
529000	531000	それでは、イスラエル軍の
531000	533000	ガザ進行、こちらの動きについて
533000	535000	日本国際ボランティアセンターの
535000	537000	奈木舞さんにお話しを伺います。
537000	539000	奈木さん、よろしくお願いします。
539000	541000	よろしくお願いします。
541000	543000	まず、初めに奈木さん自身は
543000	545000	これまでどこでどういったお仕事を
545000	547000	されて来られたんでしょうか?
547000	551000	私は大学でアラビア語を学んでいた時に
551000	554000	イスラエル・パレッシナに留学しておりまして
554000	556000	2006年7年でした。
556000	558000	その後、2013年からはJBCで
558000	561000	パレッシナ事業を担当していましたので
561000	564000	その間、1年弱エルサレムに
564000	568000	取材して、月に1、2回ガザに出張しておりました。
568000	571000	今はJBCで広報担当しております。
571000	574000	JBC、日本国際ボランティアセンター
574000	576000	実際にガザはイスラエルにいらっしゃった時は
576000	578000	どういった様子だったのか、
578000	581000	それからどういったお仕事をされていたのか、いかがでしょうか?
581000	584000	私が滞在していたのは、エルサレムの
584000	586000	パレッシナ側だったんですけども、
586000	591000	エルサレムのパレッシナのエルサレム県の中で
591000	594000	子どもたちの支援をしたりですとか、
594000	598000	ガザ地区に行っては、子どもの英雄市長予防事業の活動など
598000	601000	現地のNGOと一緒に行っておりました。
601000	602000	なるほど。
602000	606000	今回の衝突がある前のガザの様子も
606000	609000	非常にエネルギーなどいろいろなものが不足していたと聞いています。
609000	612000	こういった実装というのはどうだったんでしょうか?
612000	615000	そうですね。ガザに行くと、
615000	619000	やっぱり1日に4時間とかしか電気が来ない。
619000	622000	これは連慮が入ってこないこともあれば、
622000	627000	旅かさなる空白とかで圧電所が壊されていたりとか
627000	630000	いろんな要因があるんですけど、そういったこともあり、
630000	633000	インフラがもとにかく壊れているので、
633000	635000	皆さんの不衛生なお水を飲んだりとか、
635000	638000	いろんなことは本当に毎回よく聞いていました。
638000	642000	また、私たちが活動しているのは貧困地域だったので、
642000	645000	皆さんのお家に行くと本当に冷蔵庫を開けてもらっても
645000	648000	電気来てないし何もないみたいなところでした。
648000	653000	もう本当に20人とかの家族で1人働いてればいい方で
653000	657000	その日暮らしを重ねているという様子は当時もよく見ていました。
657000	661000	貧困率が高く、収入率も低いというような状況の中で、
661000	665000	若者の比率も多いと聞きます。この点はどうでしょうか。
665000	672000	本当に歩いていて、若いエネルギー種な感じはあるんですけれども、
672000	677000	大学を出た子たちで食を持っているこの方が珍しいぐらい、
677000	682000	本当、肌感覚では9割の人は持っていないんじゃないかと思うぐらい、
682000	687000	皆さん就職に困られていて、経済が果たしていたと思います。
687000	691000	そうした中で1ヶ月以上続く戦闘状況になっているわけですが、
691000	694000	取り分け病院の状況というのが今注目されています。
694000	698000	現地の要素というのは一つにどういった情報が入っているんでしょうか。
698000	701000	現地の方々ともリアルタイム連絡とりあえず、
701000	706000	ほぼ無理な状況が続いていて、ただ私たちJBCが支援している
706000	710000	エルワファーヴィオインというところが画雑市内にあります。
710000	713000	今、緊急支援で協働していますが、
713000	716000	スタッフの方がアルジャジーラなどのインタビューに答えたりしているのを
716000	721000	私たちも拝見していまして、数日前の状態で、
721000	726000	事点で既に画雑市が放送されている。
726000	732000	医薬品など求めて中部や南部に強達に行くことができないというのが聞いていますし、
732000	739000	病院の主員が対魔なく爆撃を受けているということは本当に伺っています。
739000	743000	すると医療活動そのものはほとんどできないという状況なんでしょうか。
743000	749000	3週間ほど前から年料がなくて医療機器が使えないことを使えるものは
749000	753000	全部動員しているけども圧倒的に足りていなくて先行きが見えないということは
753000	759000	本当に悲鳴のような声をエルワファーヴィオインの先生方からは聞いています。
759000	763000	電気もないので、これはエルワファーだけじゃないんですけど、
763000	767000	携帯のバックライトとかで皆さん手術をしていたり、
767000	771000	マスイがないとかマスイのない手をせっかい手術をしているみたいなことを
771000	773000	本当によく聞いています。
773000	777000	保育機なども使えないという状況もあって、
777000	781000	何とかアカゴを温めるというようなそういった様子なんかも写真や動画などで
781000	785000	紹介されています。こういった実情についてはいかがでしょうか。
785000	791000	そうしなければ本当に子どもたちを守れないという状況が
791000	795000	説実に現地にあるものを取り返しています。
795000	798000	また、これ医療関係品だけではなくても電力、
798000	804000	それから医療者においても、やはり食料など日常品もなかなか不十分な状況なのかと思いますか。
804000	806000	この点はどうでしょうか。
806000	812000	皆さんも掃除て食べ物を苦労されているんだと思います。
812000	816000	私の友人も子どもが世にいる人がいるんですけれども、
816000	821000	とにかくビスケットの欠片のようなものしかないので、
821000	825000	ちょっとのお茶葉と分かるにしかないみたいな。
825000	828000	子どもたちがどんどん植えて植えと戦ってる状態で、
828000	831000	一体これは何になると。
831000	836000	日本国際ボランティアセンターのエルサルム現地事務所は
836000	840000	今回の戦闘などによる影響というのはないんでしょうか。
840000	843000	幸いなことにエルサルムを築いていますので、
843000	848000	私たちの中在員のスタッフたちは毎日業務をしておりますけれども、
848000	851000	ただ車で1.5時間なんですよね、ガザマで。
851000	853000	そちらに向かうことはできないまま、
853000	856000	緊急支援のアレンジなどを事務所で、
856000	860000	もしくは声願とかに行って行っている形になります。
860000	864000	また、ガザ南部というのも決して安全ではないと伝えられているより、
864000	866000	また、県民などを通って入る物資というのを
866000	868000	とても限られているということも伝えられています。
868000	871000	この点はいかがでしょうか。
871000	876000	南部にいるスタッフたちがパートナー団体に行って、
876000	880000	その人もバックリフィオンが鳴り響いてずっと止まらない中、
880000	885000	子供を、例えば路上でずっと眺めながら抱きかかえて、
885000	890000	何時間も過ごしているというような話をずっと聞いています。
890000	893000	家の中にいると空爆に巻き込まれて、
893000	899000	本当にガレキの中に埋まってしまうかもしれないからということだと思います。
899000	903000	それが南部の状態だと聞いていますから、
903000	909000	医療機が行われているというのももっと確実にあるんだと思っています。
909000	913000	そして北部に対して流通というのは届こうとしまっているような状況があり、
913000	916000	長期的な見通してもなかなか困難なところがあります。
916000	918000	今後、日本国際ボランティアセンターとしては、
918000	922000	どういった支援を行っていく予定になっているのでしょうか。
922000	925000	エルワファ病院に対する支援は、
925000	928000	現地の状況を見ながら続けていきつつも、
928000	931000	他にもパートナー団体がありますので、
931000	936000	調整がつき次第、医療支援なり、食料配布なりといったことができるように
936000	941000	皆さんと話し合いを続けている形になっております。
941000	945000	また、現地からの要望の声などは届いているんでしょうか。
945000	949000	一般の方々からという話だと、
949000	956000	本当に国連組織NGOの支援トラックが入っているという情報は聞いてはいるんですけれども、
956000	964000	ここで画像って名古屋市ほどの面積と人口に対してトラックが数十代というペースは本当に足りるものではないんですよね。
964000	970000	支援トラック入り始めたときは、人々は生き通りの声をむしろ聞いておりまして、
970000	978000	これを食べて地獄の日々を数日生き延びろというのかという怒りの声を受け取っていました。
979000	985000	先ほどおっしゃっていた北部への安全なアクセスはほぼ不可能ですから、
985000	991000	支援トラックは北部まで、もしくは放棄されている画像市の方は
991000	996000	そこまで物資が行くのかどうか本当に見通せない状況だと思っています。
996000	1001000	支援トラックも空白に巻き込まれるような事態があると聞いていますから、
1001000	1006000	とにかく計算してほしいというのは、現地の人たちがもう口々におっしゃることで、
1006000	1011000	一個も早く暴力を止めるということが国際社会に求められていると思います。
1011000	1017000	なるほど。また画像にいらっしゃる方々が、例えば市外口から逃れて、
1017000	1022000	例えば難民申請するなどといった状況は今とても困難な状況になっているわけでしょうか。
1022000	1031000	もう皆さん情報も作走していて、携帯もずっとインターネットが使える状態でもないですし、
1031000	1040000	本当は口図体に皆さん情報をやり取りして何とかやっている状況ですから、
1040000	1044000	例えばみんなこれに登録してくださいとかみんなここに集まってください、
1044000	1048000	みんなこれをやってくださいというようなことはできない混乱状態だと聞いています。
1048000	1053000	国連も支援でいっぱいいっぱいだと思いますし、
1053000	1058000	とにかく提前をしなければそういったアレンジもほぼ不可能だと思います。
1058000	1065000	状況整理であるとか、まずは生存も含めて今提前なければ困難な状況がさらに深刻化しているんですね。
1065000	1071000	毎日日々最悪の状況を更新していると思って間違いないと思います。
1071000	1077000	今日11月15日、パレッシュな独立記念日ということですけど、これは現地ではどういった日なんでしょうか。
1077000	1085000	私もこの日を現地で迎えたことがありますけど、現地ではお休み祝日になっているんですよね。
1086000	1094000	これは1988年なんですけれども、パレッシュな解放機構のヤセラルハト機長が独立宣言を読み上げて、
1094000	1098000	パレッシュな国家の樹立を宣言した日になります。
1098000	1106000	ただ現地にいたときは、みんなよく笑っていたんですけど独立していないのに記念日だけあるのよねというふうに皆さん笑っていましたが、
1106000	1113000	本来だったら皆さんお休みで海に出かけたりとかビクニックしたりとか羽を伸ばしたりする日です。
1113000	1118000	ただ皆さんそんなことを感じる余裕も多分ないんじゃないのかなと思います。
1118000	1125000	なるほど。交差際に現地を支援している団体への間接的な支援、支援金などは必要になってくるかと思います。
1125000	1129000	日本国際バランティアセンターを支援したいという方は、ナミキさんどうすればいいんでしょうか。
1129000	1131000	ありがとうございます。
1131000	1139000	私たちのWebサイトは日本国際バランティアセンターで検索していただければ、トップページにあるビクニック支援のリンクが貼ってあります。
1139000	1146000	本当にたくさんの方々にご協力いただいておりますし、私たち他にもイベントなどもよく行っているので、
1146000	1153000	ぜひ現地を知って一緒に発信をしていただきたいですし、共感いただけたらご記憶いただけたらと思います。
1153000	1154000	ありがとうございます。
1154000	1156000	ナミキさんありがとうございました。
1156000	1158000	ありがとうございました。
1158000	1163000	JVC日本国際バランティアセンターのナミキ舞さんにお話を伺いました。
1164000	1166000	飲んです。
1166000	1174000	これからの時代を明るい未来へとブレイクスルーしていくために、毎日新聞はコミュニケーションのプロになる。
1174000	1182000	伝えることで人と人をつなぎ、社会の在り方や人々の暮らしを前向きに変えていく。
1182000	1185000	コミュニケーターカンパニーへ毎日新聞。
1186000	1188000	人は支え合って生きていく。
1188000	1193000	みんながみんなを支える社会を日本財団は目指しています。
1193000	1199000	困難を抱える子供たちを始め、障害のある方への支援や災害復興支援。
1199000	1205000	誰かのためにあなたにも私にもできることがあるから、日本財団です。
1207000	1214000	この時間は毎日新聞社日本財団の提供でお送りしました。
1216000	1219000	地獄は6時20分。
1220000	1224000	ここでTVスラジオ交通情報、提勤、転機予報です。
1225000	1229000	まずは、慶優市長からハセガーマキコさんお願いします。
1230000	1234000	東名高速道路は集中工事が行われているため、
1235000	1239000	下りは横浜町大インターフ近で10キロ、1時間以上、
1239000	1244000	反対の登りは山とトンネル付近で13キロを50分かかっています。
1245000	1251000	千葉の慶優道路下りは穴側インターフ近に故障者が止まっているため4キロ35分。
1252000	1256000	慶優道の内周りは茨城県の牛くわみインターフ近、
1257000	1260000	大型トラックが故障して止まっているため5キロ渋滞しています。
1261000	1264000	首都高速道路は5号を登りが竹橋チャンキションで4キロ半、
1264000	1268000	5国時からは50分、このほか都心環状線の外周りの
1269000	1273000	浜崎橋チャンキション付近での事故の車で終わっています。
1274000	1278000	神奈川県内では山市内の国道246号を登り、
1279000	1283000	東原4丁目では弾速的に5キロ半流れが悪くなっています。
1284000	1287000	警視庁から以上です。
1294000	1298000	今夜の関東地方、南部ほど雲が広がりやすいでしょう。
1299000	1303000	千葉や茨城では雨の降るところもありそうです。
1304000	1308000	明日は午前中晴れ間も出ますが、お天気は下り坂に向かいます。
1309000	1313000	夜遅くから雨が降り出すところが多くなるでしょう。
1314000	1318000	朝の気温けさと同じかやや低く関東地方10度前後、
1319000	1323000	北部5度前後まで下がる見込み、日中の最高気温は
1324000	1328000	中心に雨が降りそうです。
1329000	1333000	沿岸ぶれは台風波の防風が吹いて大荒れの天気となる恐れもあります。
1334000	1338000	交通機関の乱れにご注意ください。
1355000	1359000	12月30日31日日本武道館で開催。
1360000	1364000	詳しくはTBSラジオのホームページ、イベント情報を生まれ。
1385000	1392000	現代中国台湾論が5専門法制大学法学部教授の福田間岡さんにお話しをお考えます。
1393000	1396000	さて、日々ガザの状況が伝えられておりますけれども、
1397000	1400000	具体的な定戦というものがなければ支援であるとか、
1401000	1402000	あるいは人員の確保であるとか、
1403000	1405000	例えば難民化されるような方々などについて、
1406000	1407000	どういった対応することが必要なのかなと、
1408000	1411000	国際的な議論することも非常に借りらないところがあるわけですね。
1411000	1413000	なんといっても国際的な議論というのは、
1414000	1416000	国連の場で日々を行われていますけれども、
1417000	1420000	定性求めるという文言のあり方などだけをめぐって、
1421000	1423000	各国の中で相当なつなしきがあり、
1424000	1426000	そういった調整がされた文言だったとしても、
1427000	1428000	イスラエルを応じるとは当然限らないんですよね。
1429000	1432000	イスラエルが応じられるような文言に修正すればそれでいいのかというと、
1433000	1436000	その応じられ範囲っていったりどの程度の物なのかという見通しはないわけですよ。
1436000	1441000	今、振り上げたこぶしを下ろすということがなかなかできないような状況が続いているわけですもんね。
1442000	1446000	そうしますと、例えばイスラエルに対して具体的な制裁なのか、
1447000	1450000	制裁ということではできなかったとしても一定のやはり抗議なのか、
1451000	1452000	要請という格好ではない仕方で、
1453000	1455000	国際的なメッセージをどう伝えるのかということも問われてくるんですが、
1456000	1460000	この段階になると、各国本当にスタンスがバラバラバラで決議なんていうことは
1461000	1464000	とてもではないけれども見通すことができないという状況になっているわけですよね。
1465000	1469000	いずれにしても現地で様々な活動をしている方も含めて情報が入ってきます。
1470000	1474000	その中で、今一刻一刻と人命が失われていく時間が過ぎていくんだということも伝えられています。
1475000	1478000	だからこそ、こういったような状況の中で必要な支援とは何か、
1479000	1482000	その支援を実現するためにどれだけ休戦や停戦というのが必要なものなのか、
1483000	1487000	何度何度も伝えていきながら、そうしたものへの指示というものを広げていくのが重要なのかなと思いますね。
1495000	1499000	行くしまひろしです。ラジオ大きな皆さん。
1500000	1504000	新聞の文字やスマホの画面が霞む。視界がぼやけて景色が見えづらい。
1505000	1508000	年齢を重ねてくるとね、そんなものが見ててきますよね。分かる分かる。
1509000	1512000	そこで今日は、なんと!売り上げ1000万袋を突破。
1513000	1517000	特望ではない人気の機能性表示書品、一望百計のご紹介です。
1518000	1521000	さて、一望百計を飲んでいる福岡県の石橋さん。
1521000	1524000	87歳の方からお便りが来ました。
1525000	1530000	当年代のね、友達は関心してたけどね、新聞の文字なんてあたしにとっちゃね、あさめしまいなんだよ。
1531000	1534000	大好きな舞台監視をや美しい景色だって、ストレスなく楽しめてるよ。
1535000	1541000	一望百計を続けてね、大正解だったよ!ということでね、あさめしまいだなんていいですよね。
1542000	1547000	さて、この一望百計に使われているのはよく聞くブルーベリーではなくて、ルーテインという成分です。
1547000	1556000	ルーテインはね、かすみやぼやけの解消によりましてね、ものをくっきり見る力を改善する機能を持った注目の成分なんですよ、ルーテイン。
1557000	1559000	一望百計はこのルーテインを20mg配合。
1560000	1565000	特望とは違う機能性表示書品として、今60代以上の方に人気なんです。
