start	end	text
0	10480	11月10日金曜日時刻は10時になりました 今晩はライターの竹田です竹田査鉄ですよろしくお願いします
10480	20320	映画の先週ねちょうどこう高校の同層会に行ってきた話しましたけれども ちょっとこう話そびれたことがありましてというかまあついに気づいたということがね一つあったんですが
20320	29840	あの先日の同層会学校主催のちゃんとしたやつで 出席者全員が軽く挨拶をするっていうねなかなかしんどい時間があったんですけど
29840	39520	出席者の名簿ですねあの先生が洋洋してまして50音順に紹介するんですね 学校ってやつはとにかく50音順が大好きだなと
39520	50000	なのであの50音順で一番早い赤井さんという同級生の女性が再殺をした 今こういう仕事して高校時代の思い出はこうですととてもはっきりとですね
50000	57280	コンパクトにまとめたんですね 最初の人がもしこう赤井ですけどよろしくお願いしますというだけで終わってたらおそらく続く人もそういう
57280	62880	コンパクトな挨拶になっていたかもしれないわけで 次の人も同じように丁寧な挨拶をしたと
62880	69920	で大人になるとですねある集団の中で50音順でものおと進めようとする場面というのは なかなかやってこないんですけど
69920	79080	学校生活っていうのは何かと50音順出席番ご順で進められていた記憶というのがあります 幼稚園の頃にもあったかもしれませんけれども
79080	89280	なのでこの同層会の挨拶がそうであったように出席番号が早い人っていうのは いろんな場面の方針っていうのを作ってきたんじゃないかということに気づいたんですね
89280	97960	例えばあの音楽のテストの時間で歌を歌うときのスタンスとかですね 僕の学校では新学期はまず出席番号順に
97960	107560	左前から順番に座席が決まってたんで事業でもその順番で当てられると 例えば国語の教科書の労働の気合いの入れ方とかですね
107560	118960	それが最初の人がどう読むかでだいぶ変わったはずですし 卒業分手を配られるとじっくり読まれる確率が最も高いのは出席番号で最初の方だったということになるわけですね
118960	130880	どの学校でもどの先生でもそのうち出席番号の早い人からだけでは良くないと言い始めて 今日は逆からやってみようということで出席番号の後ろから当てていくということもある
130880	139200	なのでこう渡辺さんとかですね渡さんあたりは今日はもしかしたら先生逆から当ててくるかもしれないなという恐怖を ある程度抱えなくちゃいけない
139200	150760	なので新しい何かが始まるときに一定の恐怖感があるとそうなるとこの竹田査鉄まあ査鉄はペンネームですが 竹田は本名なんですけど竹田というのはですね出席番号で行くと
150760	161440	およそ真ん中くらいでみんなが答えたり話したりする順番の戦闘になるってことはまずない 前から行こうが後ろから行こうが自分が当たるまでには時間がある
161440	170560	この時間があるっていうのが気持でまあそのそれなにこう一歩変わったことを言ってやろうとかですね あいつがこう来たら自分を行くべきだというに考えるようになる
170560	177240	この時間があることによって客観性というものが歯ごくまれたのではないかというふうに肌と気づいたんですね
177240	184920	つまりまあ赤井さんとか安倍さんとか今井さんとかですね 何かとすぐに発表を終えると終わったらあとは自分のプレッシャーはかからない
184920	191560	和田さんとか和田さん渡辺さんとかですね たまに順番が逆転するけど基本的に発表は最後になる
191560	200720	さすがに待つ時間が長すぎると一方だけだというのはいつも真ん中らへんにいると それとどんな発表でもちょうどみんなが飽きた頃に順番がやってくる
200720	210920	でも少しこう方向性起動を変えたいなというふうに考えながらちょっとトリッキーなことをしたり シニカルなことをやってみたりするそれがまあ成功したり成功しなかったりするわけですけど
210920	219280	出席番号順の真ん中らへんだったってことが自分の人格形成に大きく影響してるんじゃないかと 今になって気づいたんですね
219280	229040	そういう教育の世界に子孫期と出席番号っていう論文があるかどうかっていうのはわかりませんけど これは研究死害のあるテーマなんじゃないかなというふうに思ったんですね
229040	236160	僕はこうテンション爆上がりでもなくテンションめっちゃ低いでもなくてテンションっていうものからこう離れて生活を続けてきましたけど
236160	242920	それやっぱり安倍でも渡辺でもなく竹田だったということが 影響してるんじゃないかという仮説ができたんですね
242920	253800	それにちょっと関連してですねあの作家の村山よかさんの作家生活30年語るロングインタビューっていうのが 周囲者から出ているですね青春と読書っていう冊子に乗ってまして
253800	261880	そこであ僕もそうなんだけどと興奮した箇所があってそれ村山さんがですね 自分には3カメさんがいるっていうことを書いてるんですね
261880	272280	3カメっていうのはですね主観のカメラではなく IT視線のカメラでもなく第3社的に自分を見るカメラがあるんだと インタビューで村山さんこういうことを話してんですね
272280	281560	私は自分の少し後ろの上空にカメラがあって自分をじっと見ているという感覚がどうも強すぎるみたいなんです 主観カメラでも IT視点のカメラでもなく
281560	291880	第3社的という意味で自分の中の3カメさんと呼んでるんですけど その3カメさんが自分の暮らしも何もかもサッカラしく期待するために利用してるんじゃないのという夢で見てくる
291880	297880	3カメさんの前では私は演技者としてそこにいて いい子や妻や作家に期待をしているんだと
297880	304840	3カメさんがずっと見張ってるんでその自分というのがよく分からないと 未だにそういう感覚ですというふうにおっしゃっているんですね
304840	314440	なんかこれ僕も本当にまさに自分も日々ですねこういう感覚がありまして 謎の客観性というのがあってこの3カメさんがずっと見張ってる感じがあるんですね
314440	323240	これもしかしたら出席番号順で物事が進みがちな学校生活で この竹田として一定の緊張感冷静さ
323240	332840	あれは野心みたいなものをブレンドしてこうなったんじゃないかと 村山さんも出席番号順で言えば後半に差し掛かったくらいで何かを発表したりですね
332840	340600	テストを受けたりするまでにだいぶ時間があったはずだから 客観性が生まれたり違いないと勝手に確信をしたんですね
340600	350200	今日思い立ってあの今日夕方ですね知り合いの山崎さんという人に電話しまして 山崎さんって出席番号中出席番号とどう向き合ってたというに急に聞いたらですね
350200	356520	自分は山崎だけどあの実は出席番号の最後になったことってはないんだと いつも後ろに山本とか吉田がいたんだ
356520	367080	あの音楽の授業でリコーダーのテストがあって最後になるのは絶対にやだったけど 山本とか吉田がいたから最後になれなかったと山崎が増えを吹く頃にはあのクラスはもう飽きてたと
367080	378080	自分のところに来る時にはもうみんな飽きてるだろうという安心感とかですね諦めがあって それは人格形成に影響を与えてるかもしれないねと突然の電話にちゃんと答えてくれてですね
378080	385560	この思春期と出席番号というテーマはもしかしたら何らかの発見が隠れてるかもしれないと思いましたけど
385560	391640	もう面倒なんでこれ以上は知られませんけどただ吐き出したかっただけでございます
